Unique ID; Name; Patronym; Lastname; Sex; Father ID; Mother ID; Spouse ID; Birth; Death; Age; Race; Human%; Orc%
0;Va-go-ur-kr;;;Female;;;7;79;123;44;Orc;0.0;100.0
1;Va-gy-urk-kry;;;Female;;;2;79;134;55;Orc;0.0;100.0
2;Gra-kr-ar-pe;;Zul-ra-go-r;Male;;;1;79;129;50;Orc;0.0;100.0
3;Olaf;;Olafs;Male;;;6;79;144;65;Human;100.0;0.0
4;Va-kr-urk-fr;;;Female;;;21;79;164;85;Orc;0.0;100.0
5;Friedrich;;Friedrichs;Male;;;19;79;125;46;Human;100.0;0.0
6;Lena;;;Female;;;3;79;165;86;Human;100.0;0.0
7;Gra-kr-fr-pa;;Zul-go-ur-kr;Male;;;0;79;134;55;Orc;0.0;100.0
8;Lisa;;;Female;;;18;79;154;75;Human;100.0;0.0
9;Va-zag-fr-kro;;;Female;;;;79;144;65;Orc;0.0;100.0
10;Va-pa-zey-kro;;;Female;;;;79;147;68;Orc;0.0;100.0
11;Peter;;Lang;Male;;;14;79;134;55;Human;100.0;0.0
12;Va-kr-kro-pa;;;Female;;;;79;167;88;Orc;0.0;100.0
13;Va-zar-go-zak;;;Female;;;17;79;165;86;Orc;0.0;100.0
14;Johanna;;;Female;;;11;79;164;85;Human;100.0;0.0
15;Erika;;;Female;;;16;79;134;55;Human;100.0;0.0
16;Uwe;;Uwes;Male;;;15;79;124;45;Human;100.0;0.0
17;Gra-r-urz-fr;;Zul-kro-kry-zag;Male;;;13;79;134;55;Orc;0.0;100.0
18;Johann;;Johanns;Male;;;8;79;156;77;Human;100.0;0.0
19;Nina;;;Female;;;5;79;145;66;Human;100.0;0.0
20;Friedrich;Friedrichssohn;Bergmann;Male;5;19;22;100;169;69;Human;100.0;0.0
21;Franz;Olafssohn;Franzs;Male;3;6;4;100;168;68;Human;100.0;0.0
22;Nina;Uwestochter;Uwes;Female;16;15;20;100;177;77;Human;100.0;0.0
23;Adam;Peterssohn;Lang;Male;11;14;;100;101;1;Human;100.0;0.0
24;Nina;Johannstochter;Johanns;Female;18;8;32;101;179;78;Human;100.0;0.0
25;Va-fry-zak-arz;;Zul-kro-kry-zag;Female;17;13;43;101;170;69;Orc;0.0;100.0
26;Gra-urk-ur-fry;;Zul-go-ur-kr;Male;7;0;;102;104;2;Orc;0.0;100.0
27;Va-kr-fr-pa;;Zul-ra-go-r;Female;2;1;34;102;195;93;Orc;0.0;100.0
28;Friedrich;;Johanns;Male;18;8;;107;108;1;Human;100.0;0.0
29;Va-zar-go-zak;;Zul-go-ur-kr;Female;7;0;;108;109;1;Orc;0.0;100.0
30;Marie;;Friedrichs;Female;5;19;40;109;199;90;Human;100.0;0.0
31;Gra-ur-fry-ra;;Zul-ra-go-r;Male;2;1;;111;112;1;Orc;0.0;100.0
32;Johann;;Schröder;Male;16;15;24;111;178;67;Human;100.0;0.0
33;Va-kr-ar-pe;;Zul-kro-kry-zag;Female;17;13;;112;113;1;Orc;0.0;100.0
34;Hans;Olafssohn;Krause;Male;3;6;27;113;190;77;Human;100.0;0.0
35;Johanna;;Friedrichs;Female;5;19;;113;114;1;Human;100.0;0.0
36;Gra-ze-gy-za;;Zul-fry-zar-urz;Male;7;0;;114;116;2;Orc;0.0;100.0
37;Marie;Peterstochter;Lang;Female;11;14;;115;116;1;Human;100.0;0.0
38;Va-ur-pa-r;;Zul-ra-go-r;Female;2;1;;116;117;1;Orc;0.0;100.0
39;Gra-go-ur-fry;;Zul-go-ur-kr;Male;7;0;;117;118;1;Orc;0.0;100.0
40;Reinhardt;;Reinhardts;Male;18;8;30;118;205;87;Human;100.0;0.0
41;Franz;Olafssohn;Olafs;Male;3;6;;120;122;2;Human;100.0;0.0
42;Erik;;Krause;Male;16;15;44;121;200;79;Human;100.0;0.0
43;Johann;;Johanns;Male;11;14;25;122;199;77;Human;100.0;0.0
44;Lena;Franzstochter;Franzs;Female;21;4;42;122;209;87;Half-Orc;50.0;50.0
45;Erik;;Eriks;Male;20;22;65;122;189;67;Human;100.0;0.0
46;Uta;;Uwes;Female;16;15;;125;127;2;Human;100.0;0.0
47;Ian;;Bergmann;Male;5;19;50;126;196;70;Human;100.0;0.0
48;Gra-r-pa-kr;;Zul-zey-fry-zag;Male;2;1;55;127;218;91;Orc;0.0;100.0
49;Wilhelm;;Bergmann;Male;20;22;;127;128;1;Human;100.0;0.0
50;Frieda;Olafstochter;;Female;3;6;47;127;194;67;Human;100.0;0.0
51;Klaus;Franzssohn;Klauss;Male;21;4;64;129;198;69;Half-Orc;50.0;50.0
52;Gra-zar-pe-ze;;Zul-kro-kry-zag;Male;17;13;;129;130;1;Orc;0.0;100.0
53;Frieda;;Schröder;Female;32;24;;130;132;2;Human;100.0;0.0
54;Sonja;;Uwes;Female;16;15;;130;133;3;Human;100.0;0.0
55;Va-kry-ar-zar;;Zul-ze-zar-za;Female;17;13;48;132;201;69;Orc;0.0;100.0
56;Wilhelmina;;Bergmann;Female;20;22;;132;134;2;Human;100.0;0.0
57;Franz;;Franzs;Male;34;27;63;133;223;90;Half-Orc;50.0;50.0
58;Günter;;Klein;Male;11;14;62;133;220;87;Human;100.0;0.0
59;Klaus;;Klauss;Male;18;8;;134;201;67;Human;100.0;0.0
60;Klaus;;Schreiber;Male;5;19;81;134;224;90;Human;100.0;0.0
61;Laura;;Bergmann;Female;20;22;;137;139;2;Human;100.0;0.0
62;Marie;;Olafs;Female;3;6;58;138;227;89;Human;100.0;0.0
63;Frieda;;Lang;Female;11;14;57;139;227;88;Human;100.0;0.0
64;Va-zar-fr-urk;;Zul-kro-kry-zag;Female;17;13;51;140;228;88;Orc;0.0;100.0
65;Bärbel;;Johanns;Female;18;8;45;140;208;68;Human;100.0;0.0
66;Adam;;Tischler;Male;40;30;76;141;209;68;Human;100.0;0.0
67;Heinrich;;Schwarz;Male;43;25;73;141;228;87;Half-Orc;50.0;50.0
68;Marie;;Krause;Female;34;27;;141;142;1;Half-Orc;50.0;50.0
69;Heinrich;;Krause;Male;42;44;;141;142;1;Half-Orc;75.0;25.0
70;Erika;;Franzs;Female;21;4;;141;142;1;Half-Orc;50.0;50.0
71;Bärbel;;Bergmann;Female;20;22;;142;143;1;Human;100.0;0.0
72;Heinrich;;Schröder;Male;32;24;;143;144;1;Human;100.0;0.0
73;Frieda;;Friedrichs;Female;5;19;67;145;224;79;Human;100.0;0.0
